<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,01/11/22,10:00,170.8900000,171.2900000,170.4000000,170.7300000,3541740
GAZP,60,01/11/22,11:00,170.7300000,170.8500000,170.3600000,170.6100000,1242630
GAZP,60,01/11/22,12:00,170.6100000,171.0700000,170.5000000,170.9200000,1905630
GAZP,60,01/11/22,13:00,170.9200000,171.0000000,169.9000000,170.2700000,2989080
GAZP,60,01/11/22,14:00,170.2600000,170.5000000,170.0900000,170.5000000,1270060
GAZP,60,01/11/22,15:00,170.5000000,170.7700000,170.3700000,170.3700000,1093070
GAZP,60,01/11/22,16:00,170.4000000,170.4900000,170.1200000,170.4800000,1134010
GAZP,60,01/11/22,17:00,170.4800000,170.4800000,169.8300000,169.8600000,1456000
GAZP,60,01/11/22,18:00,169.8600000,170.1500000,169.7500000,170.0000000,860130
GAZP,60,01/11/22,19:00,170.0000000,170.1000000,169.9000000,170.1000000,452670
GAZP,60,01/11/22,20:00,170.1000000,170.1800000,170.0100000,170.1000000,247820
GAZP,60,01/11/22,21:00,170.1400000,170.1700000,170.0000000,170.0200000,206920
GAZP,60,01/11/22,22:00,170.0500000,170.1000000,169.8800000,169.9800000,226880
GAZP,60,01/11/22,23:00,169.9800000,170.0100000,169.9000000,169.9200000,146170
GAZP,60,02/11/22,10:00,169.9900000,169.9900000,168.8100000,169.1200000,4313810
GAZP,60,02/11/22,11:00,169.1100000,169.5000000,169.0300000,169.4900000,867020
GAZP,60,02/11/22,12:00,169.4900000,169.5000000,169.2000000,169.5000000,898390
GAZP,60,02/11/22,13:00,169.5000000,169.9000000,169.3100000,169.9000000,2667270
GAZP,60,02/11/22,14:00,169.9000000,169.9000000,169.5000000,169.7700000,714140
GAZP,60,02/11/22,15:00,169.7600000,169.9000000,169.5600000,169.8500000,741420
GAZP,60,02/11/22,16:00,169.8800000,169.9000000,169.5000000,169.6000000,1222870
GAZP,60,02/11/22,17:00,169.5600000,169.8500000,169.0900000,169.7600000,1307630
GAZP,60,02/11/22,18:00,169.8000000,170.4500000,169.7700000,170.2900000,1846810
GAZP,60,02/11/22,19:00,170.3000000,170.4000000,169.9000000,169.9900000,449460
GAZP,60,02/11/22,20:00,169.9900000,170.0300000,169.9000000,169.9000000,211580
GAZP,60,02/11/22,21:00,169.9000000,170.0600000,169.6000000,169.7300000,328590
GAZP,60,02/11/22,22:00,169.7300000,169.9000000,169.4000000,169.4900000,348810
GAZP,60,02/11/22,23:00,169.4900000,169.5000000,167.1000000,167.7200000,2532760
GAZP,60,03/11/22,10:00,167.1000000,168.4500000,166.6800000,167.5000000,4489570
GAZP,60,03/11/22,11:00,167.5000000,167.5000000,167.0000000,167.5000000,2457650
GAZP,60,03/11/22,12:00,167.4900000,167.5000000,166.7700000,167.2000000,1716830
GAZP,60,03/11/22,13:00,167.1900000,168.0000000,167.1500000,167.8300000,1254620
GAZP,60,03/11/22,14:00,167.8300000,167.9700000,167.4800000,167.6600000,768670
GAZP,60,03/11/22,15:00,167.7200000,167.7500000,167.5100000,167.6900000,573650
GAZP,60,03/11/22,16:00,167.6900000,168.8000000,167.5000000,168.8000000,1486550
GAZP,60,03/11/22,17:00,168.8000000,169.6500000,168.4000000,169.3800000,2332620
GAZP,60,03/11/22,18:00,169.3900000,169.4700000,168.9300000,169.4700000,1081820
GAZP,60,03/11/22,19:00,169.1500000,169.5000000,169.1500000,169.4900000,401560
GAZP,60,03/11/22,20:00,169.4400000,169.6500000,168.8000000,168.8500000,716040
GAZP,60,03/11/22,21:00,168.8900000,169.1800000,168.8000000,169.1700000,216500
GAZP,60,03/11/22,22:00,169.1600000,169.2200000,169.0000000,169.1300000,170720
GAZP,60,03/11/22,23:00,169.1800000,169.2900000,169.0500000,169.1400000,419620
GAZP,60,07/11/22,10:00,171.0200000,171.5900000,169.9800000,170.6200000,4506420
GAZP,60,07/11/22,11:00,170.6200000,170.9000000,170.3400000,170.5000000,2432730
GAZP,60,07/11/22,12:00,170.5000000,170.8000000,170.0000000,170.2300000,3506710
GAZP,60,07/11/22,13:00,170.2300000,170.3900000,169.6400000,169.8800000,2286360
GAZP,60,07/11/22,14:00,169.8800000,170.0000000,169.5200000,169.9400000,1408560
GAZP,60,07/11/22,15:00,169.9400000,170.1800000,169.8500000,169.9200000,1023800
GAZP,60,07/11/22,16:00,169.9500000,170.0000000,169.6000000,169.8500000,1168200
GAZP,60,07/11/22,17:00,169.8500000,170.0000000,169.6500000,169.7300000,1758320
GAZP,60,07/11/22,18:00,169.7300000,169.9900000,169.6500000,169.9900000,1306670
GAZP,60,07/11/22,19:00,169.8900000,170.6000000,169.8500000,170.1000000,688080
GAZP,60,07/11/22,20:00,170.1000000,170.1500000,169.7300000,170.0300000,450450
GAZP,60,07/11/22,21:00,170.0300000,170.0300000,169.8100000,169.8500000,456760
GAZP,60,07/11/22,22:00,169.8400000,169.9000000,169.7900000,169.8400000,448610
GAZP,60,07/11/22,23:00,169.8100000,169.9000000,169.7600000,169.8500000,323630
GAZP,60,08/11/22,10:00,170.0500000,170.9500000,169.3500000,169.9000000,3976560
GAZP,60,08/11/22,11:00,169.8600000,169.9800000,169.1700000,169.8500000,1768750
GAZP,60,08/11/22,12:00,169.8500000,169.9000000,169.4900000,169.8200000,1225620
