<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,29/10/20,10:00,206.5100000,207.3300000,205.5500000,205.9300000,10202610
SBER,60,29/10/20,11:00,205.9300000,206.7500000,203.6400000,203.9400000,13973650
SBER,60,29/10/20,12:00,203.9500000,206.2100000,203.8900000,205.6800000,10091140
SBER,60,29/10/20,13:00,205.6800000,206.0500000,204.7100000,205.5600000,6117560
SBER,60,29/10/20,14:00,205.6100000,205.7500000,204.2000000,204.4400000,4950970
SBER,60,29/10/20,15:00,204.4400000,205.1000000,203.7500000,204.7000000,5893080
SBER,60,29/10/20,16:00,204.7000000,205.0900000,203.9000000,204.6000000,4735360
SBER,60,29/10/20,17:00,204.6400000,206.3000000,204.2100000,205.5800000,14767060
SBER,60,29/10/20,18:00,205.5800000,205.6500000,204.5000000,204.5000000,15543450
SBER,60,29/10/20,19:00,204.6100000,205.2900000,204.2600000,205.0500000,1048970
SBER,60,29/10/20,20:00,205.0900000,205.6200000,205.0500000,205.6200000,1184250
SBER,60,29/10/20,21:00,205.6200000,206.2500000,205.6100000,206.0000000,1165160
SBER,60,29/10/20,22:00,206.0000000,206.4400000,205.8000000,206.1000000,877610
SBER,60,29/10/20,23:00,206.1100000,206.3000000,205.5700000,205.5800000,747120
SBER,60,30/10/20,10:00,203.6600000,204.4000000,202.7200000,203.8400000,10764550
SBER,60,30/10/20,11:00,203.8500000,204.8400000,203.1600000,204.2100000,11464660
SBER,60,30/10/20,12:00,204.1800000,204.6400000,203.7700000,204.0500000,4767720
SBER,60,30/10/20,13:00,204.0600000,204.4000000,203.6000000,204.1000000,4480510
SBER,60,30/10/20,14:00,204.1200000,204.4000000,203.4800000,203.9900000,3468220
SBER,60,30/10/20,15:00,204.0000000,204.0300000,203.0100000,203.1100000,5570070
SBER,60,30/10/20,16:00,203.1100000,203.1200000,201.8000000,202.3300000,12935310
SBER,60,30/10/20,17:00,202.3000000,202.4900000,200.7600000,201.1000000,16037600
SBER,60,30/10/20,18:00,201.0600000,201.6500000,200.9600000,201.0300000,7481800
SBER,60,30/10/20,19:00,201.1000000,201.3500000,200.7800000,201.2300000,2368390
