<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,60,29/10/20,10:00,4605.0000000,4642.8000000,4598.0000000,4605.2000000,118331
YNDX,60,29/10/20,11:00,4605.8000000,4637.8000000,4584.4000000,4600.4000000,125468
YNDX,60,29/10/20,12:00,4601.8000000,4629.6000000,4598.4000000,4627.8000000,56994
YNDX,60,29/10/20,13:00,4627.4000000,4655.0000000,4617.6000000,4648.0000000,78499
YNDX,60,29/10/20,14:00,4647.6000000,4648.0000000,4597.6000000,4600.0000000,83343
YNDX,60,29/10/20,15:00,4600.0000000,4628.0000000,4584.4000000,4622.6000000,57137
YNDX,60,29/10/20,16:00,4622.4000000,4640.0000000,4600.0000000,4634.4000000,93367
YNDX,60,29/10/20,17:00,4634.2000000,4634.2000000,4589.2000000,4598.6000000,125266
YNDX,60,29/10/20,18:00,4598.6000000,4618.0000000,4585.0000000,4602.0000000,140078
YNDX,60,29/10/20,19:00,4610.0000000,4624.6000000,4602.4000000,4604.8000000,16356
YNDX,60,29/10/20,20:00,4607.0000000,4639.0000000,4605.4000000,4635.4000000,29395
YNDX,60,29/10/20,21:00,4635.0000000,4655.0000000,4633.4000000,4636.8000000,45502
YNDX,60,29/10/20,22:00,4639.0000000,4653.2000000,4635.0000000,4641.2000000,11449
YNDX,60,29/10/20,23:00,4641.6000000,4648.2000000,4636.8000000,4637.2000000,11541
YNDX,60,30/10/20,10:00,4597.8000000,4619.6000000,4515.0000000,4542.2000000,152883
YNDX,60,30/10/20,11:00,4542.2000000,4568.0000000,4535.2000000,4551.0000000,81341
YNDX,60,30/10/20,12:00,4551.0000000,4588.4000000,4545.4000000,4582.6000000,46212
YNDX,60,30/10/20,13:00,4581.0000000,4587.2000000,4555.0000000,4570.6000000,31666
YNDX,60,30/10/20,14:00,4567.4000000,4577.0000000,4555.0000000,4561.0000000,21945
YNDX,60,30/10/20,15:00,4561.0000000,4573.2000000,4551.2000000,4565.4000000,22042
YNDX,60,30/10/20,16:00,4565.4000000,4573.0000000,4548.0000000,4562.2000000,47878
YNDX,60,30/10/20,17:00,4562.6000000,4568.0000000,4533.0000000,4533.4000000,56686
YNDX,60,30/10/20,18:00,4535.0000000,4545.4000000,4518.0000000,4524.8000000,100289
