date_,time_,title,content
27-10-2022,20:00,Путин попросил Газпром пойти навстречу Молдавии в вопросе поставок газа,Президент России Владимир Путин попросил главу Газпрома Алексея Миллера пойти навстречу Молдавии в вопросе поставок газа и цен на него Об этом он заявил в четверг 27 октябрь на пленарном заседании дискуссионного клуба Валдай 
27-10-2022,11:00,Куда пойдут дивиденды Газпрома,Финансист Дмитрий Пучкарев — о том как выплаты акционерам газового гиганта могут поддержать фондовый рынок 
25-10-2022,10:00,Турция попросила о скидке на российский газ у Газпрома,Турция настойчиво добивается скидки на российский газ и попросила Газпром о возможности отсрочить платежи Об этом заявил 25 октябрь министр финансов и казначейства республики Нуреддин Небати 
24-10-2022,15:00,Нидерланды выдали более 90 разрешений на невыполнение санкций против России,Власти Нидерландов сделали исключение для десятков компаний и учреждений освободив их от выполнения санкций против России 
20-10-2022,15:00,Молдовагаз рассчиталась с Газпромом за текущие поставки газа,Корпорация Молдовагаз рассчиталась с российским Газпромом за текущие поставки газа в страну Об этом 20 октябрь рассказал председатель правления Молдовагаза Вадим Чебан в своем Telegram-канале 
16-10-2022,16:00,РФ готова отправить через новый турецкий хаб потерянный на Северных потоках газ,Благодаря новому турецкому хабу можно будет перенаправить все выпавшие из-за терактов на Северных потоках объемы газа Об этом заявил 16 октябрь глава Газпрома Алексей Миллер 
16-10-2022,12:00,В Газпроме предупредили о прекращении поставок газа в случае введения потолка цен,Введение потолка цен на газ нарушает условия договоров а это влечет за собой прекращение поставок заявил глава Газпрома Алексей Миллер в воскресенье 16 октябрь 
16-10-2022,11:00,Посол РФ назвала вопросом переговоров возобновление поставок газа в Болгарию,Возобновление поставок газа в Болгарию является вопросом переговоров Об этом в воскресенье 16 октябрь заявила посол России в Болгарии Элеонора Митрофанова 
14-10-2022,18:00,Новак анонсировал появление замены Shell в Сахалин-2 до конца года,Новый акционер в проекте Сахалин-2 вместо Shell появится до конца текущего года Об этом 14 октябрь заявил вице-премьер РФ Александр Новак 
13-10-2022,23:00,РФ допустила использование отечественных турбин на Турецком потоке,При строительстве новых ниток Турецкого потока будут использованы турбины российского производства Об этом в четверг 13 октябрь заявил глава Газпрома Алексей Миллер 
13-10-2022,22:00,Глава Газпрома сообщил о заполненных водой Северных потоках,Поврежденные нитки газопроводов системы Северный поток сейчас на большом протяжении заполнены морской водой для их ремонта потребуется отрезать и заменить значительную часть трубы 
12-10-2022,22:00,Глава МИД Венгрии назвал Газпром необходимым и надежным поставщиком,Газпром необходим Венгрии как надежный поставщик в долгосрочной перспективе Об этом заявил журналистам глава МИД Венгрии Петер Сийярто после переговоров с главой компании Газпром Алексеем Миллером прошедших в Москве 12 октябрь 
12-10-2022,17:00,Газпром приступил к соединению газотранспортных систем запада и востока РФ,Газпром приступает к строительству перемычки для соединения западной и восточной систем газоснабжения РФ Об этом 12 октябрь заявил глава компании Алексей Миллер на форуме Российская энергетическая неделя 
12-10-2022,16:00,Газпром приступил к проектированию Силы Сибири - 2,Российская компания Газпром приступила к проектированию газопровода Сила Сибири – 2 а также магистрали Союз-Восток через Монголию в Китай Об этом в среду 12 октябрь заявил председатель правления компании Алексей Миллер 
11-10-2022,15:00,Глава МИД Венгрии приедет в Москву для переговоров с Газпромом и Росатомом,Министр иностранных дел и внешнеэкономических связей Венгрии Петер Сийярто намерен принять участие в международном форуме Российская энергетическая неделя в Москве 
10-10-2022,19:00,В Газпроме напомнили об обнаруженном взрывателе НАТО под Северным потоком,Пресс-секретарь председателя правления ПАО Газпром Сергей Куприянов в понедельник 10 октября рассказал о взрывателе НАТО обнаруженном под газопроводом Северный поток 
08-10-2022,23:00,Открытый портфель: сколько могли заработать частные инвесторы в сентябре,Известия и аналитики Финама продолжают следить за ситуацией на фондовом рынке и подводят итоги месяца 
07-10-2022,11:00,В России сократят поддержку газомоторной отрасли,В России сократят поддержку газомоторной отрасли — Минфин оптимизировал бюджет на строительство заправок на метане (АГНКС) на 2023–2025 годы субсидия на 2023-й составит около 1 миллиард рублей 
07-10-2022,23:00,Метана след: в России сократят господдержку газомоторной отрасли,Как скажется на секторе сокращение финансирования 
05-10-2022,15:00,В России оценили объемы утечек газа из Северных потоков,Точные объемы газа которые утекли в результате подрыва Северных потоков на данный момент назвать невозможно для этого необходимо провести большие исследования что пока не представляется возможным 
05-10-2022,11:00,Итальянская Eni сообщила о возобновлении поставок газа от Газпрома,Итальянская нефтегазовая группа Eni в среду 5 октябрь заявила что поставки Газпрома через Австрию возобновлены 
05-10-2022,10:00,Газпром заявил о возобновлении транспортировки российского газа через Австрию,Транспортировка российского газа через Австрию возобновляется найдено решение с итальянскими покупателями Об этом в среду 5 октябрь сообщает Газпром 
05-10-2022,23:00,Молдавия завершит аудит долга перед Газпромом в январе,Правительство Молдавии планирует завершить аудит долга перед российской компанией Газпром в январе и подписать соглашение по его погашению 
04-10-2022,21:00,Bloomberg узнало детали соглашения Будапешта и Москвы по поставкам газа,Венгрии возможно придется заплатить минимум евро 4 миллиард за российский газ этой зимой Об этом сообщает Bloomberg со ссылкой на источники 
