date_,time_,title,content
28-10-2022,17:00,Греф назвал важнейшие для современного человека навыки,В первую очередь необходимо овладевать мягкими навыками (soft skills) затем цифровыми и уже потом профессиональными сказал президент Сбербанка Герман Греф на конференции Больше чем обучение которая прошла в СберУниверситете 
12-10-2022,14:00,Сбербанк заявил о готовности финансировать нефтегазовые проекты в юанях,В настоящее время в Сбербанке находятся на рассмотрении новые проекты в нефтегазовой отрасли на сумму около 3 трлн рублей сообщил первый зампредседателя правления банка Александр Ведяхин 
10-10-2022,16:00,Аналитик предрек повторное удаление приложения Сбербанка из AppStore,Аналитик Mobile Research Group Эльдар Муртазин 10 октябрь прокомментировал Известиям информацию о том что приложение СБОЛ которое является альтернативой Сбербанку Онлайн для устройств на платформе iOS вновь появилось в цифровом магазине AppStore 
08-10-2022,12:00,Под гнетом санкций: что делать если карты перестали работать,В приложения российских банков стало невозможно зайти из-за границы 
07-10-2022,19:00,Вход усложнен: с чем связаны сбои в работе онлайн-банков РФ за рубежом,7 октября в разных странах перестали открываться приложения и сайты подсанкционных организаций 
07-10-2022,18:00,Почему за границей не работает приложение Сбербанка Главное,Клиенты сервисов Сбербанка находящиеся в настоящее время в Армении Узбекистане и Казахстане пожаловались на неполадки с сервисами финансовой организации Всё что известно о ситуации к данному моменту в материале Известий 
07-10-2022,16:00,Сбер предупредил о возможных проблемах в работе приложения за рубежом,Находящиеся за границей клиенты Сбербанка могут столкнуться с временными ограничениями при использовании приложения Сбербанк Онлайн из-за технических работ сообщили Известиям в пресс-службе компании 7 октябрь 
05-10-2022,12:00,Новые рекорды и новые вызовы,Первый заместитель председателя правления Сбербанка Александр Ведяхин об оптимизации процессов производства зерновых 
20-09-2022,16:00,Зампред правления Сбербанка Златкис покинула свой пост,Зампред правления Сбербанка Белла Златкис покинула свой пост по собственному желанию Об этом говорится в сообщении пресс-службы банка во вторник 20 сентября 
16-09-2022,16:00,Сбер снижает первоначальный взнос по ипотеке на вторичное жилье,С 19 сентября Сбер снизит первоначальный взнос при покупке жилья на вторичном рынке в ипотеку с 15 процентов до 10 процентов Об этом 16 сентября сообщила пресс-служба банка 
15-09-2022,17:00,Сбер начал перевод своих сайтов на российские сертификаты,Сбер первым в стране начал установку сертификатов выпущенных Удостоверяющим Центром Минцифры на все свои сайты рабочие ресурсы и системы Об этом сообщила пресс-служба кредитного учреждения 
13-09-2022,10:00,Сбербанк продолжил процесс дедолларизации,В рамках процесса дедолларизации Сбербанк переориентируется на альтернативные валюты в первую очередь китайские юани и индийские рупии Об этом сообщает РБК со ссылкой на зампреда правления банка Анатолия Попова 
06-09-2022,18:00,Сбер рассчитывает открыть филиал в Китае,Сбер рассчитывает открыть филиал в Китае заявил в интервью Известиям на ВЭФ-2022 первый зампред правления банка Александр Ведяхин Это позволит банку вести коммерческую деятельность в стране 
06-09-2022,17:00,Мы надеемся открыть в Китае отдельный филиал,Первый зампред правления Сбера Александр Ведяхин о бизнесе за рубежом объективности ИИ и зеленой ипотеке 
06-09-2022,11:00,В 2023 году Сбер запустит Зеленую ипотеку,В 2023 году Сбер планирует запустить Зеленую ипотеку предназначенную для покупки жилья относящегося к экосегменту 
02-09-2022,17:00,Сервисы Гостех разместятся в новом Центре обработки данных Сбера,Сервисы единой цифровой платформы Гостех разместятся на мощностях Центра обработки данных (ЦОД) Сбера который строится в городе Балаково в Саратовской области 
31-08-2022,14:00,Греф назвал ключевые технологии будущего,Президент Сбербанка Герман Греф назвал семь ключевых технологий будущего: искусственный интеллект высокоскоростной интернет (5G/6G) облачные вычисления web 3 0 виртуальная и дополненная реальность квантовые вычисления и биотехнологии 
23-08-2022,13:00,Приложение СБОЛ исчезло из App Store,Приложение СБОЛ которое давало возможность клиентам Сбербанка с устройствами на iOS использовать сервисы банка удалено из App Store 
22-08-2022,22:00,Вице-премьер отметил вклад Сбера в подготовку IT-кадров,От качественной подготовки в России IT-кадров зависит не только эффективность цифровизации ведущих отраслей экономики но и технологический суверенитет страны заявил зампред правительства Дмитрий Чернышенко 
22-08-2022,21:00,Сбер подготовит IT-специалистов в Новгороде,Сбер откроет в Великом Новгороде Школу 21 учебное заведение которое готовит кадры в области информационных технологий Как сообщает пресс-служба компании образовательное учреждение появится в одном из корпусов Новгородской технической школы 
16-08-2022,13:00,Появился агрегатор банковских приложений для iOS,В App Store появилось новое мобильное приложение СБОЛ Система банковского обслуживания для людей 
16-08-2022,23:00,Крупные банки планируют улучшить условия по кешбэкам,В случае отмены ограничений по эквайринговым комиссиям Сбер вернет прежние условия по программам лояльности рассказали Известиям в кредитной организации 
16-08-2022,22:00,На круги своим: Сбер планирует улучшить условия по кешбэкам,Когда другие участники рынка могут изменить системы вознаграждения клиентов 
