date_,time_,title,content
28-10-2022,19:00,Мегафон запустил сервис оплаты офлайн-покупок частями,Мегафон запустил в розничной сети сервис оплаты частями Яндекс Сплит
25-10-2022,16:00,Курьеры-партнеры Delivery Club получат бесплатную страховку,Яндекс бесплатно застрахует курьеров-партнеров Delivery Club от несчастных случаев Данная опция доступна в рамках программы заботы от Яндекса сообщает пресс-служба компании
19-09-2022,16:00,Яндекс обеспечит курьеров зонами отдыха,Яндекс совместно с партнёрами торговыми центрами фудмоллами и рынками до конца года создаст для курьеров до десяти зон отдыха сообщает пресс-служба компании
12-09-2022,13:00,Яндекс завершил сделку с VK по покупке Delivery Club и продаже Дзена,Компания Яндекс закрыла сделку по покупке сервиса доставки еды Delivery Club и продаже ресурсов Дзен и Новости
07-09-2022,10:00,Доставляют все: куда движется рынок доставки еды в России,Эксперты фиксируют рост там где ждали падения
01-09-2022,18:00,Яндекс Такси получило массу фейковых заказов в Москве от злоумышленников,Приложение Яндекс Такси утром 1 сентябрь столкнулось с массовыми фейковыми заказами автомобилей такси в московский район Фили из-за чего возникла пробка на 40 минут Об этом сообщила Известиям пресс-служба компании в четверг
29-08-2022,15:00,Поставщики IKEA начали продавать свою продукцию в онлайне,С момента старта продаж на странице Товары ИКЕА и аналоги сервис для выбора и покупки товаров Яндекс
24-08-2022,17:00,ФАС получила ходатайство от Яндекса о приобретении Delivery Club,Федеральная антимонопольная служба (ФАС) получила от VK и Яндекс ходатайства о приобретении Delivery Club новостного агрегатора Новости и рекомендательной платформы Дзен Об этом 24 август говорится в Telegram-канале ведомства
23-08-2022,18:00,Платформы и содержание: что значит для рынка сделка между VK и Яндексом,VK может стать крупнейшим интернет-холдингом с аудиторией в 95 процентов российских пользователей
23-08-2022,14:00,Яндекс отдаст VK Дзен и Новости в обмен на Delivery Club Главное,VK станет собственником двух сервисов Яндекса Дзен и Новости Документы о сделке уже подписаны сторонами завершить ее планируется до конца года Главное о договоре двух компаний в материале Известий
23-08-2022,14:00,Эксперты назвали последствия заключения сделки VK и Яндекса,Сделка заключенная между Яндексом и VK пойдет на пользу обеим компаниям считает предприниматель учредитель инвестиционной компании Плечко групп Ростислав Плечко Об этом он заявил во вторник 23 август Известиям
23-08-2022,12:00,Аналитик рассказал о значении сделки VK и Яндекса,Аналитик Mobile Research Group Эльдар Муртазин во вторник 23 август в беседе с Известиями оценил информацию о подписании Яндексом документов с ресурсом ВКонтакте (VK) об обмене сервисов Дзен и Новости на сервис доставки еды из ресторанов и магазинов Delivery Club
23-08-2022,12:00,Акции Яндекса обновили максимум с конца июль на фоне контракта с VK,Акции компании Яндекс утром 23 август обновили максимум с конца июль после новости о том что компания подписала обязывающие документы с ресурсом ВКонтакте (VK) об обмене сервисов Дзен и Новости на сервис доставки еды из ресторанов и магазинов Delivery Club
23-08-2022,11:00,После сделки Яндекса и VK Delivery Club продолжит работу под своим брендом,Сделка Яндекса и соцсети ВКонтакте (VK) не повлияет на ресурс Delivery Club который продолжит работать под своим привычным брендом Об этом 23 август заявил глава Яндекс Еды Роман Маресов
23-08-2022,10:00,Яндекс сменит адрес сайта,Яндекс откажется от новостного агрегатора и будет развивать yaru в качестве новой главной страницы Об этом во вторник 23 август сообщили в пресс-службе компании
23-08-2022,10:00,VK объявил о покупке Дзена и Новостей у Яндекса,VK и Яндекс подписали документы о сделке по условиям которой VK станет собственником сервисов Дзен и Новости и передаст Яндексу сервис по доставке готовой еды и продуктов Delivery Club
06-08-2022,10:00,СК РФ возбудил дело после утечки данных сервиса доставки Яндекс Еда,Следственный комитет России возбудил уголовное дело после утечки данных пользователей сервиса доставки Яндекс Еда которая произошла в марте этого года Об этом в субботу 6 август РБК сообщил адвокат Саркис Дарбинян
05-08-2022,19:00,При Яндекс Еде создадут комиссию по разрешению спорных ситуаций,При сервисе Яндекс Еда начнет работать отраслевая комиссия по вопросам партнёрства Об этом сообщила пресс-служба компании
04-08-2022,10:00,ЯндексДиск начали использовать для кибератак,Киберпреступники из группировки АРТ31 которую многие эксперты считают китайской начали использовать Яндекс Диск в своих атаках на компьютеры пользователей рассказали Известиям в компании Positive Technologies
04-08-2022,10:00,Заоблачные технологии: Яндекс Диск начали использовать для кибератак,Зачем злоумышленникам понадобились российские файловые хранилища и как избежать заражения компьютера 
02-08-2022,14:00,Курьер на самокате сбил женщину с ребенком в Москве,Яндекс разбирается в ситуации с наездом курьера на самокате на женщину с ребенком на улице Октябрьской в Москве Об этом сообщили в пресс-службе фудтех-направления Яндекс Go во вторник 2 августа
14-07-2022,13:00,Яндекс Go для бизнеса оптимизировал массовый заказ такси сотрудникам,Для корпоративных клиентов Яндекс Go стала доступна функция массового развоза Она поможет компаниям организовать доставку сотрудников домой сообщает пресс-служба Яндекса
24-06-2022,12:00,Произошел сбой в работе Яндекс Go и Uber,В Москве произошел сбой в работе агрегаторов такси Яндекс Go и Uber
22-06-2022,14:00,Малому и среднему бизнесу упростили B2B-закупки в интернете,Яндекс Маркет адаптировал свой сервис В2В-закупок для малого и среднего бизнеса сообщили в пресс-службе компании
22-06-2022,10:00,В Совфеде увидели риск роста цен на АЗС из-за Яндекса,Рост тарифа за использование Яндекс Заправок создает риск увеличения цен на бензин заявил Известиям первый зампред комитета Совета Федерации по экономической политике Юрий Федоров
22-06-2022,10:00,Цифровые патологии: в Совфеде увидели риск роста цен на АЗС из-за Яндекса,Насколько может подорожать бензин
15-06-2022,10:00,Товары из IKEA появились на Яндекс Маркете,Россияне снова могут приобрести товары для дома из ушедшего из РФ ритейлера IKEA Подобные предложения стали появляться на Яндекс Маркете сообщили 15 июнь в пресс-службе компании
09-06-2022,20:00,Эксперты объяснили нововведение Яндекс Карт сложностями для сервиса,Эксперты по IT-технологиям в комментарии Известиям 9 июнь объяснили свою точку зрения на новую политику сервиса Яндекс Карты которая связана с тем что теперь там не будут изображать государственные границы стран на обзорной карте мира
09-06-2022,18:00,В Яндекс Картах решили не показывать границы государств,Сервис Яндекс Карты решил перестать отображать границы между государствами на обзорной карте мира Об этом в пресс-службе компании сообщили в четверг 9 июня
03-06-2022,17:00,Волож покидает пост гендиректора группы компаний Яндекс,Сооснователь Яндекса Аркадий Волож покидает совет директоров и пост генерального директора группы компаний Соответствующее заявление Яндекс сделал в пятницу 3 июня
03-06-2022,16:00,Сооснователь Яндекса Аркадий Волож попал в санкционный список ЕС,В шестой пакет антироссийских санкций попал сооснователь Яндекса Аркадий Волож Об этом стало известно в пятницу 3 июня
31-05-2022,15:00,РКН запросил у Delivery Club и Яндекс Еды сведения об утечке данных курьеров,У сервисов Delivery Club и Яндекс Еда запрошена детальная информация о возможно произошедшей утечке персональных данных курьеров Об этом во вторник 31 май сообщили в пресс-службе Роскомнадзора
31-05-2022,10:00,В Delivery Club проверят сообщения об утечке персональных данных,В сервисе доставки еды Delivery Club проверяют информацию о том что произошла утечка личных данных сотрудников Об этом представители компании сообщили в понедельник 30 мая
31-05-2022,10:00,Сервис ЯндексЕда опроверг информацию об утечке данных,В сервисе доставки Яндекс Еда сообщили что служба безопасности компании не фиксировала новых утечек данных Последние распространившиеся в Сети сообщения об утечке относятся к инциденту от 1 марта Об этом рассказали в пресс-службе компании
30-05-2022,17:00,Минцифры согласовало законопроект о новых штрафах за утечку личных данных,Минцифры согласовало законопроект ужесточающий ответственность компаний за утечку персональных данных клиентов
19-05-2022,10:00,Новый слив: в сеть утекли данные клиентов СДЭКа Билайна и Wildberries,Хакеры заявили о похищении баз популярных российских сервисов
18-05-2022,12:00,Эксперт рассказал о последствиях новой утечки данных российских пользователей,Руководитель департамента информационно-аналитических исследований компании T
18-05-2022,11:00,Слитая карта данных ЯндексЕды пополнилась новой информацией,В опубликованную в марте карту с утекшими данными пользователей сервиса ЯндексЕды добавили новую информацию из ГИБДД СДЭКа Avito Wildberries Билайна ВТБ и других источников Об этом сообщает новостной портал Forbes
16-05-2022,13:00,В Яндексе опровергли переезд штаб-квартиры в Израиль,Российская компания Яндекс не планирует переносить свою штаб-квартиру из Москвы в Израиль Слухи о возможном переезде в понедельник 16 май опроверг Известиям руководитель пресс-службы корпорации Илья Грабовский
18-05-2022,11:00,Слитая карта данных ЯндексЕды пополнилась новой информацией,В опубликованную в марте карту с утекшими данными пользователей сервиса Яндекс Еды добавили новую информацию из ГИБДД СДЭКа Avito Wildberries Билайна ВТБ и других источников Об этом сообщает новостной портал Forbes
16-05-2022,13:00,В Яндексе опровергли переезд штаб-квартиры в Израиль,Российская компания Яндекс не планирует переносить свою штаб-квартиру из Москвы в Израиль Слухи о возможном переезде в понедельник 16 май опроверг Известиям руководитель пресс-службы корпорации Илья Грабовский
30-04-2022,13:00,Финский дата-центр Яндекса перешел на резервное питание,Финский дата-центр Яндекса в финском Мянтсяля временно перешел на энергоснабжение от собственных дизельных генераторов Об этом в субботу 30 апрель сообщили в компании РИА Новости
28-04-2022,16:00,Эксперт рассказал о последствиях продажи Яндекс Новостей и Яндекс Дзена VK,Переход ресурсов Яндекса к VK позволит расширить их функционал и стать более масштабными для пользователей а также расширятся возможности для монетизации платформ
28-04-2022,14:00,VK подписала соглашение о покупке ЯндексНовостей и ЯндексДзена,Компания VK подписала соглашение о покупке у Яндекса сервисов Новости и Дзен Об этом в четверг 28 апрель сообщили Известиям в пресс-службе VK
27-04-2022,19:00,Яндекс Маркет раскрыл данные по продажам малого бизнеса,За первый квартал текущего года оборот примерно 2 тысяч небольших магазинов на платформе Яндекс Маркет впервые превысил 1 миллион рублей Об этом сообщили в пресс-службе маркетплейса
21-04-2022,15:00,ФАС признала доминирующее положение у некоторых агрегаторов такси в России,На рынке агрегаторов такси в России есть игроки занимающие сейчас доминирующее положение Об этом сообщили Известиям в пресс-службе Федеральной антимонопольной службы (ФАС)
21-04-2022,14:00,Суд в Москве оштрафовал ЯндексЕду на 60 тысяч рублей после утечки данных,Мировой судья судебного участка №101 района Замоскворечье в Москве оштрафовал компанию Яндекс Еда на 60 тысяч рублей за нарушение закона о персональных данных Об этом сообщили в пресс-службе Замоскворецкого суда столицы в четверг 21 апреля
14-04-2022,20:00,Гендиректором Яндекса в России назначен Артем Савиновский,Генеральным директором Яндекса в России назначен Артем Савиновский Об этом говорится в сообщении компании в четверг 14 апреля
31-03-2022,11:00,За чей счет банкет: можно ли отсудить деньги у сервиса за утечку персональных данных,Для этого существует несколько юридических оснований но довести дело до значительных компенсаций в России очень непросто
30-04-2022,13:00,Финский дата-центр Яндекса перешел на резервное питание,Финский дата-центр Яндекса в финском Мянтсяля временно перешел на энергоснабжение от собственных дизельных генераторов Об этом в субботу 30 апрель сообщили в компании РИА Новости
28-04-2022,16:00,Эксперт рассказал о последствиях продажи Яндекс Новостей и Яндекс Дзена VK,Переход ресурсов Яндекса к VK позволит расширить их функционал и стать более масштабными для пользователей а также расширятся возможности для монетизации платформ
28-04-2022,14:00,VK подписала соглашение о покупке ЯндексНовостей и ЯндексДзена,Компания VK подписала соглашение о покупке у Яндекса сервисов Новости и Дзен Об этом в четверг 28 апрель сообщили Известиям в пресс-службе VK
27-04-2022,19:00,Яндекс Маркет раскрыл данные по продажам малого бизнеса,За первый квартал текущего года оборот примерно 2 тысяч небольших магазинов на платформе Яндекс Маркет впервые превысил 1 миллион рублей Об этом сообщили в пресс-службе маркетплейса
21-04-2022,15:00,ФАС признала доминирующее положение у некоторых агрегаторов такси в России,На рынке агрегаторов такси в России есть игроки занимающие сейчас доминирующее положение Об этом сообщили Известиям в пресс-службе Федеральной антимонопольной службы (ФАС)
21-04-2022,14:00,Суд в Москве оштрафовал ЯндексЕду на 60 тысяч рублей после утечки данных,Мировой судья судебного участка №101 района Замоскворечье в Москве оштрафовал компанию Яндекс Еда на 60 тысяч рублей за нарушение закона о персональных данных Об этом сообщили в пресс-службе Замоскворецкого суда столицы в четверг 21 апреля
14-04-2022,20:00,Гендиректором Яндекса в России назначен Артем Савиновский,Генеральным директором Яндекса в России назначен Артем Савиновский Об этом говорится в сообщении компании в четверг 14 апреля
31-03-2022,11:00,За чей счет банкет: можно ли отсудить деньги у сервиса за утечку персональных данных,Для этого существует несколько юридических оснований но довести дело до значительных компенсаций в России очень непросто
05-03-2022,13:00,Эксперт оценил влияние блокировки Google и Meta в РФ на бизнес и медиа в стране,Бизнес начнет переходить на рекламу в Яндекс и VK считает сооснователь виртуального маркетолога Макс Юрий Панов Об этом эксперт рассказал в субботу 5 март Известиям
05-03-2022,11:00,Яндекс приостановила тесты беспилотных автомобилей в США,В городе Энн-Арбор штата Мичиган (США) временно прекращены дорожные тесты беспилотных автомобилей компанией Яндекс
04-03-2022,12:00,В Яндексе предупредили о последствиях остановки торгов его бумагами из-за санкций,В Яндексе заявили что если держатели части облигаций воспользуются правом требования то компания не сможет исполнить свои обязательства по долгам Об этом в пятницу 4 март говорится в заявлении российской IT-компании
25-02-2022,11:00,Яндекс начал уведомлять о возможных фейках при запросах по Украине,Яндекс начал уведомлять о возможных фейках при запросах связанных с Украиной Об этом говорится в заявлении компании поступившем в распоряжение ТАСС в пятницу 25 февраля
18-02-2022,10:00,Яндекс VK и Лаборатория Касперского будут вместе бороться с детским порно,Яндекс VK и Лаборатория Касперского (ЛК) в рамках Альянса по защите детей в цифровой среде запустили пилотный проект по выявлению и блокировке детской порнографии а также сексуализированного контента с участием несовершеннолетних
15-02-2022,19:00,Товарооборот Яндекса в сегменте e-grocery достиг рекордных 575 млрд рублей,Товарооборот Яндекса в сегменте e-grocery по итогам 2021 года достиг рекордных 575 млрд рублей
11-02-2022,21:00,ЯндексДоставка занялась междугородней логистикой,Сервис Яндекс Доставка ранее работавший исключительно внутри городов с февраль 2022 года начал помогать компаниям в организации междугородней логистики Об этом сообщается в пресс-релизе поступившем Известиям в пятницу 11 февраля
03-02-2022,12:00,К горнолыжным подъемникам на зимних курортах Сочи начали доставлять еду,Заказать еду в ресторанах с доставкой на зимние курорты Сочи стало возможно с помощью Яндекс Еды Сервис привозит заказы на курорты Красной Поляны на высоте 540 м и 960 м а также на Розу Хутор на высотах 560 м и 1170 м
02-02-2022,22:00,Киносборочная группа: бизнес призвал снизить налоги на онлайн-контент,Как реализация идеи может отразиться на зрителях
02-02-2022,18:00,Крупнейшие торговые площадки собрались присоединиться к антимонопольным принципам ФАС,Крупнейшие российские цифровые компании и деловые ассоциации заявили что готовятся присоединились к концепции Принципов взаимодействия участников цифровых рынков которые были утверждены Федеральной антимонопольной службой (ФАС) в 2021 году
21-01-2022,14:00,ЯндексМаркет инвестирует более 270 миллион рублей в рекламу пунктов выдачи заказов,Сервис Яндекс Маркет планирует в 2022 году инвестировать более 270 миллион рублей в продвижение брендированных пунктов выдачи заказов (ПВЗ) сообщили Известиям 21 январь в пресс-службе компании
